id,username,created_at,lng,lat,text
1517273847514517506,paulinhoval14,Thu Apr 21 22:47:29 +0000 2022,-0.1842935,5.6231985,Let’ throw it back’ ‘Coz it’s Thursday’’.🇰🇪🇰🇪..🦾🦾🐺🐺🏋🏿‍♀️🏋🏿‍♀️🥵🥶🔥💥🍫🍫🖤🖤🤎🤎. ⁃Me sippin’ some red wine🍷😎😉 and mindin’… https://t.co/4NHnxYHaCY
1517273866598449152,aynstaa,Thu Apr 21 22:47:34 +0000 2022,109.096209,-7.633589499999999,@convomf nyesek tapi ttp harus semangat happy kiyowo https://t.co/iGbdgvkQPJ
1517273961318711297,O5BWGtBho3PJmm6,Thu Apr 21 22:47:56 +0000 2022,137.0060895,35.2190605,"みなみん💙💚💛💜❤💗💖@minami_hannariお誕生日🎂🎂✨おめでとう🎉㊗✨🎉🎂Happy Birthday 🎂🎉最幸😍😍💗で素敵な1年謳歌してね❤(￣∇￣ﾉﾉ""ﾊﾟﾁﾊﾟﾁﾊﾟﾁ!!… https://t.co/A9uW29glRu"
1517273995443597312,Tazul1525047,Thu Apr 21 22:48:04 +0000 2022,90.328709,24.098380499999998,@CryptoTownEU 1It's a very wonderful project !!!! I feel avant-garde and sharpened sensibility!!!! I'm so happy if… https://t.co/8Xhnndo89z
1517273998265970688,davidlee,Thu Apr 21 22:48:05 +0000 2022,-118.4119065,34.0207895,.@rhomsany is an old friend and one of the best operators in softwareAs Lebron would say he took his talents to b… https://t.co/JJnyEQEYpp
1517274036778291202,msaimeesue,Thu Apr 21 22:48:14 +0000 2022,-90.24782400000001,38.653771,FINALLY the first Bombus queens of the year in my yard! Two looked newly emerged and a third was foraging. Hard to… https://t.co/w4z7jYpzbf
1517274101420802048,ThebostonGary,Thu Apr 21 22:48:30 +0000 2022,-71.09829149999999,42.473158,@pbraxmeier They want me happy 1st so there's a lot of indecision but they don't like seeing me unhappy.
1517274108739862532,LOVEkiddy,Thu Apr 21 22:48:31 +0000 2022,-81.267942,32.099475999999996,I'm so happy to be home!!! Lol
1517274126804819968,Jacobnofilter,Thu Apr 21 22:48:36 +0000 2022,-80.926628,33.6311395,This pic makes me happy
1517274129640017921,YlainneC,Thu Apr 21 22:48:36 +0000 2022,118.780801,9.9086605,Happy Birthday ate regz @reginevalcasid 🎂🎂🎂🎉🎉🎉💕💕💕
1517274142885691394,KillaNas3,Thu Apr 21 22:48:39 +0000 2022,-75.3864605,39.1450235,@haleythemartian I’m SO happy for y’all mbn… https://t.co/BEA6ty5PC2
1517274174124867584,Jehannettec,Thu Apr 21 22:48:47 +0000 2022,-73.8311875,40.6708795,@J3koBlogs Happy Birthday @J3koBlogs 🥳🎈🎉
1517274246166110208,RoySaif22,Thu Apr 21 22:49:04 +0000 2022,0.07886299999999999,51.584990000000005,Very happy to see you in Lahore Khan Saab. I am very happy to see All Lahore crowed in Lahore. MashAllah InshAllah… https://t.co/th38iWhaZc
1517274248670330880,AndySmithLife,Thu Apr 21 22:49:05 +0000 2022,-83.1738665,32.6782075,@brendangahan Happy to be a new LinkedIn follower today brother.
1517274344073961476,MellanGeorg,Thu Apr 21 22:49:27 +0000 2022,29.2730235,29.000369,"@FmjVg3Lcp5GeU3n Good looking my beautiful friend,happy Easter."
1517274368233066498,jsgascoigne,Thu Apr 21 22:49:33 +0000 2022,-93.1056485,44.9415155,"@RachelBrougham Happy birthday, handsome!"
1517274369189646336,mokutra,Thu Apr 21 22:49:33 +0000 2022,101.680805,2.904732,"@KechHidayah @rafiqhamustaffa Happy birthday Rafiqha, ibu LutHawa!🎉🎊"
1517274419655233537,Howiee_Malik,Thu Apr 21 22:49:45 +0000 2022,-91.40100849999999,30.937336000000002,"I’m in the best mood right now, I’m actually happy today!!"
1517274439947276288,AllegraHistory,Thu Apr 21 22:49:50 +0000 2022,-72.9291585,41.298394,So great to speak alongside Professor Pedro Cardim this afternoon. Looking forward to spending time in Lisbon this… https://t.co/50NQFuEZXY
1517274533782298626,242_peanut,Thu Apr 21 22:50:13 +0000 2022,-76.593943,24.074967,Birthday And Baecation Adventure⛵️🏝🏝FunBeautiful Amazing HappyMe&amp;The Woman🌻🌻🌻 https://t.co/bFP8ABVo9v
